0:228270:21,2686666666667:6,75266666666667:222:1169,63689554149:0,0599999986588955:0,0511052257980014:0
1:228288:19,368:24,1653333333333:212:1219,52547481142:0,0750000029802322:0,0637555762668051:0
2:228289:12,91:24,056:208:1211,83398016568:0,0549999997019768:0,0623678894749918:0
3:228290:13,4166666666667:22,1713333333333:217:1208,27330280172:0,0649999976158142:0,058309183973085:0
4:228292:20,5853333333333:22,1173333333333:201:1205,89267493939:0,0649999976158142:0,0675092109787619:0
5:228295:11,5606666666667:24,0433333333333:212:1201,33230064655:0,0410000011324883:0,0600046120699572:0
6:228297:5,314:26,6946666666667:204:1258,01993113551:0,063000001013279:0,0568946174200717:0
7:228300:14,1793333333333:22,4813333333333:207:1206,3815960062:0,0719999969005585:0,0603071619427183:0
8:228738:10,386:27,1173333333333:212:1200,5894059806:0,0410000011324883:0,061647294356104:0
9:228741:8,51333333333333:28,8213333333333:217:1201,85456374596:0,0540000014007092:0,0585850865612145:0
10:228743:2,678:29,5826666666667:223:1058,03721039871:0,0740000009536743:0,0586123066400427:0
11:228765:20,1826666666667:26,2013333333333:212:1160,42255691002:0,0649999976158142:0,0669452782704968:0
12:228770:8,85866666666667:27,9626666666667:230:1096,06102252829:0,0410000011324883:0,0587560779146353:0
13:228771:11,2353333333333:28,304:224:1187,6666133486:0,0729999989271164:0,0557427871783805:0
14:228779:13,296:29,4446666666667:214:1164,77517594962:0,061999998986721:0,0643049497181372:0
15:228798:0,0393333333333333:8,28266666666667:203:1292,47068628772:0,0860000029206276:0,0411636061815323:0
16:228803:12,8406666666667:28,276:202:1194,10350299704:0,0640000030398369:0,0653181830474434:0
17:228807:18,934:27,6586666666667:200:1206,5893049569:0,0810000002384186:0,0655121687393604:0
18:228809:12,8646666666667:28,3386666666667:199:1144,00077872441:0,0829999968409538:0,0684082767184706:0
19:228816:7,85733333333333:28,8813333333333:202:1023,647172599:0,0590000003576279:0,0715700001427128:0
20:228826:19,342:24,668:216:1182,65045797414:0,0710000023245811:0,0601931745402104:0
21:228827:7,45066666666667:28,406:218:1104,40280677532:0,0540000014007092:0,0618536525399858:0
22:228828:24,7486666666667:18,8513333333333:211:1149,74291150323:0,0829999968409538:0,0627445226454253:0
23:228829:12,0373333333333:27,3813333333333:197:1184,3034710062:0,0689999982714653:0,0688487642671067:0
24:228849:10,4621428571429:27,9542857142857:203:1205,76125151536:0,0729999989271164:0,0660675996863686:0
25:228852:8,83133333333333:28,1286666666667:211:1184,59598514952:0,0689999982714653:0,0623864436462954:0
26:228853:14,2833333333333:25,11:211:1185,88986311288:0,0659999996423721:0,0625591453812353:0
27:228857:11,0073333333333:26,8686666666667:205:1190,08132408405:0,0700000002980232:0,0649070430458416:0
28:228858:9,254:28,1453333333333:203:1176,58518403152:0,0640000030398369:0,0665594629450467:0
29:228862:10,9026666666667:27,4166666666667:206:1135,98709843077:0,0719999969005585:0,0662906109523556:0
30:228863:8,916:27,9433333333333:219:1109,67098262392:0,0820000022649765:0,061338484902158:0
31:228872:3,318:19,9653333333333:211:1178,3148319639:0,0500000007450581:0,0628071921544795:0
32:228875:12,846:26,246:200:1180,91229458513:0,0700000002980232:0,0670157546371717:0
33:228877:26,852:21,906:208:1192,27521804283:0,0829999968409538:0,0627407240991998:0
34:228880:11,2593333333333:25,7173333333333:201:1196,80603027344:0,0599999986588955:0,0660585860142511:0
35:228882:11,5293333333333:26,9893333333333:204:1190,26602067619:0,0710000023245811:0,0648005204376905:0
36:228883:12,6853333333333:26,608:211:1180,21418709591:0,0740000009536743:0,0621702210841119:0
37:228887:8,22666666666667:27,6433333333333:204:1143,76603751347:0,0599999986588955:0,066620169177531:0
38:230010:16,28:25,68:197:1217,75689065867:0,0689999982714653:0,0662316629989216:0
39:230014:19,7506666666667:25,1313333333333:212:1186,11315497037:0,0570000000298023:0,0625074902917424:0
40:230015:12,278:26,96:211:1179,40223430765:0,0820000022649765:0,0625092148810835:0
41:230016:15,7446666666667:26,7606666666667:201:1184,95485503098:0,0930000022053719:0,0681474089442804:0
42:230019:9,59533333333333:25,558:204:1151,92018706223:0,0710000023245811:0,0671580103872106:0
43:230020:9,07266666666667:27,0686666666667:207:1145,21558459052:0,0579999983310699:0,066454024154964:0
44:230034:13,904:27,9366666666667:211:1202,85451323411:0,0570000000298023:0,0643171513758887:0
45:230043:18,4753333333333:26,5513333333333:206:1129,20164331897:0,0810000002384186:0,0676110155606902:0
46:230048:10,9906666666667:25,4433333333333:199:942,31569066541:0,0769999995827675:0,0678519104035011:0
47:230060:8,05666666666667:28,2666666666667:212:1195,00901215652:0,068000003695488:0,0626077360485403:0
48:230072:22,5793333333333:24,916:212:1205,36418204472:0,0740000009536743:0,0658855426452529:0
49:230087:15,8433333333333:26,7766666666667:204:1197,69347302667:0,0520000010728836:0,0682746518222823:0
50:230092:17,1233333333333:27,0813333333333:202:1183,44155778556:0,0659999996423721:0,0690641772533019:0
51:230097:27,138125:24,216875:207:1189,09882223195:0,0750000029802322:0,0689519405554793:0
52:230098:25,0306666666667:24,6113333333333:186:1209,8451054014:0,0890000015497208:0,0809342121764796:0
53:230103:18,18:26,5753333333333:212:1126,93910796067:0,063000001013279:0,065799290611631:0
