0:230068:2,344:10,7626666666667:205:1240,46877525593:0,0529999993741512:0,0445892184316819:1
1:230079:2,68333333333333:19,886:204:878,098845383217:0,0640000030398369:0,0549439090627383:1
2:230080:1,27733333333333:5,40466666666667:201:783,736847976158:0,0390000008046627:0,0438609230820393:1
3:230082:1,932:9,328:205:852,166811186692:0,0450000017881393:0,0471910089996534:1
4:230083:2,32:12,7433333333333:206:1035,52305024246:0,0520000010728836:0,0484807731875986:1
5:230088:2,06266666666667:10,956:196:1206,79489661907:0,0410000011324883:0,0442568253899639:1
6:230093:4,51333333333333:28,3226666666667:211:1132,85636112608:0,0500000007450581:0,0605202550813457:1
7:230091:4,54357142857143:23,9892857142857:211:1170,90859880119:0,0610000006854534:0,0572209500618776:1
8:230090:0,374666666666667:7,46733333333333:203:1202,15499562231:0,0430000014603138:0,0430816532417615:1
9:230089:2,95733333333333:17,282:200:1187,55887577452:0,0450000017881393:0,04959688500668:1
10:230095:2,63333333333333:14,8686666666667:191:1174,98604189116:0,0430000014603138:0,045762314658267:1
11:230096:6,32266666666667:28,0066666666667:207:1174,03175932786:0,0520000010728836:0,05833192564044:1
12:230101:3,23133333333333:21,022:206:1139,11660661369:0,0379999987781048:0,0540518002780135:1
13:230102:6,36533333333333:20,8813333333333:204:1155,33718345905:0,0399999991059303:0,0516372009595461:1
14:230104:4,6:25,246:208:1147,1566288389:0,0670000016689301:0,0563362160484378:1
15:230105:4,826:25,354:199:1150,7514353785:0,0450000017881393:0,0537395168056905:1
16:230106:4,10866666666667:26,3693333333333:200:1159,96113112877:0,046000000089407:0,0548310215482633:1
17:230108:4,64133333333333:28,6306666666667:199:1138,3524001549:0,0670000016689301:0,0552211930470406:1
18:230109:1,60866666666667:7,61533333333333:200:1231,17182448815:0,0329999998211861:0,0428565621016382:1
19:230110:3,01:20,5313333333333:211:1189,03258014547:0,090999998152256:0,0547046438760183:1
20:230113:2,16466666666667:12,9493333333333:205:1138,09793406519:0,0509999990463257:0,048332313193389:1
21:230122:4,00933333333333:16,0646666666667:200:1188,51094002559:0,0489999987185001:0,0461714729585425:1
22:230123:6,204:28,4813333333333:190:1170,64647174704:0,0520000010728836:0,0477473626284607:1
23:230124:2,09666666666667:8,91533333333333:190:1183,9555958715:0,0480000004172325:0,036408202172608:1
24:230125:4,51733333333333:23,7773333333333:200:1181,70578108163:0,0520000010728836:0,0522773024323685:1
25:230126:5,33533333333333:24,1186666666667:205:1082,80619443696:0,0540000014007092:0,0549112334906776:1
26:230127:4,478:20,5593333333333:206:1123,52069302263:0,0599999986588955:0,0532749970909258:1
27:230128:10,4206666666667:26,8253333333333:204:1143,58514614763:0,0489999987185001:0,0513308159890974:1
28:230129:5,68866666666667:23,432:205:1130,89877424569:0,0430000014603138:0,0529811935551768:1
29:230130:6,148:27,1086666666667:206:1156,99174552128:0,0659999996423721:0,0551805474473495:1
30:230131:11,2066666666667:25,4286666666667:205:1192,39085651266:0,0549999997019768:0,0475741132474332:1
31:230132:4,90071428571429:18,2835714285714:207:1208,99190968481:0,0430000014603138:0,0514346306781547:1
32:230133:7,97666666666667:27,0946666666667:204:1140,95368904903:0,0719999969005585:0,0537936445251595:1
33:230136:10,122:25,9433333333333:228:876,110027444774:0,0780000016093254:0,0689771707463768:1
34:230138:1,83733333333333:23,2726666666667:205:1023,59461712015:0,0570000000298023:0,0561536817550497:1
35:230140:2,71133333333333:10,3086666666667:204:828,348247659617:0,0480000004172325:0,0497320497085852:1
36:230141:4,82066666666667:22,548:210:967,979022848195:0,0640000030398369:0,0596491739451627:1
37:230142:3,66266666666667:18,7693333333333:206:782,978021029768:0,0509999990463257:0,0575547059669497:1
38:230145:4,904:18,9853333333333:196:1188,46411974677:0,068000003695488:0,0467175400393372:1
39:230146:4,93733333333333:21,8446666666667:199:1160,63341443292:0,063000001013279:0,0514773941602363:1
40:230147:9,32333333333333:26,2433333333333:204:1131,32184890221:0,0649999976158142:0,0581636288060687:1
41:230148:4,268:19,1746666666667:205:1163,01658051589:0,0599999986588955:0,05332711436911:1
