0:331583:2,116:22,518:165:1195,15163574219:0,0480000004172325:0,0660232988423152
1:331586:0,146:12,082:185:1197,02875434028:0,0450000017881393:0,0488347056729459
2:331588:1,416:13,93:212:1152,71976047092:0,0520000010728836:0,0517934638423541
3:331587:0,434:9,086:204:1200,11893310547:0,0480000004172325:0,0443945382102471
4:331589:0,77:16,706:196:1199,20406494141:0,0469999983906746:0,05579315976818
5:331590:1,654:18,936:203:1203,64385986328:0,0489999987185001:0,0584757285025953
6:331591:0,32:11,318:199:1206,52989366319:0,0430000014603138:0,0474361957264792
7:331592:0,154:11,262:205:1200,90471191406:0,0439999997615814:0,0474791072946288
8:331599:1,098:14,044:207:613,399737548828:0,0560000017285347:0,0552644726476104
9:331597:2,52:21,824:205:665,921474880642:0,0599999986588955:0,0649849094868516
10:331596:0,654:16,602:210:635,427835083008:0,0640000030398369:0,058847926977267
11:331602:3,104:25,146:188:1157,23851318359:0,0599999986588955:0,0647025684638843
12:331603:3,286:27,604:190:1154,13470458984:0,0640000030398369:0,0677080533814659
13:331604:3,314:22,266:186:1163,38272705078:0,0769999995827675:0,0593005276518654
14:331605:9,312:24,724:206:1196,75029296875:0,0659999996423721:0,0605208360550893
15:331607:4,778:29,636:198:1189,38704833984:0,0989999994635582:0,0688242316911055
16:331609:4,218:25,048:192:1197,34653320313:0,0740000009536743:0,0651759014545782
17:331611:19,446:25,892:192:1200,42629665799:0,0780000016093254:0,0611260294025529
18:331616:0,936:11,156:185:1187,0931125217:0,0359999984502792:0,0467149657204162
19:331617:23,096:24,356:183:1204,05030517578:0,0500000007450581:0,0639246290112808
20:331624:1,73:20,128:186:852,216741943359:0,063000001013279:0,0615970457250204
21:331625:1,468:18,126:185:950,068395996094:0,0659999996423721:0,0578003481738734
22:331626:2,346:16,122:185:1024,13664550781:0,0500000007450581:0,054132186410108
23:331627:0,09:6,23:186:630,567895507813:0,0379999987781048:0,0424351427162187
24:331628:1,028:15,262:186:879,048333740234:0,0529999993741512:0,0538758528698561
25:331631:1,898:20,744:172:642,901010131836:0,0700000002980232:0,0633155151684678
26:331630:0,834:15,68:182:1140,53165690104:0,0579999983310699:0,0524906698604694
27:331632:1,526:20,076:182:1065,5163269043:0,0469999983906746:0,0597390869880177
28:331633:2,124:29,906:184:985,114141845703:0,0689999982714653:0,0754033454224624
29:331634:0,942:22,57:180:1084,08404541016:0,063000001013279:0,0629945547275196
30:331635:1,13:15,724:189:663,730871582031:0,0570000000298023:0,0562235248054775
31:331637:4,874:28,502:201:931,257708740234:0,0710000023245811:0,0735916018602936
32:331638:2,182:25,716:192:1158,4474609375:0,0570000000298023:0,067592588882722
33:331639:1,848:21,876:211:1064,87889268663:0,0579999983310699:0,0630018020796545
34:331643:0:5,538:186:1004,02572021484:0,0320000015199184:0,038149894732457
35:331647:0:5,342:179:758,377828979492:0,0419999994337559:0,0386340399531619
36:331648:0,154:7,58:182:863,686611938477:0,0419999994337559:0,0416002478408615
37:331649:0,926:14,71:205:854,592855834961:0,0579999983310699:0,0539681470377403
38:331650:3,52:20,468:203:601,664225260417:0,061999998986721:0,0636389945828559
39:331651:3,114:21,154:203:661,921685791016:0,0640000030398369:0,0642832244649841
40:331652:14,552:26,05:204:1194,58977050781:0,063000001013279:0,0667957147916604
41:331654:0,676:10,832:203:1206,48978271484:0,0430000014603138:0,0457874295646283
42:331655:5,776:27,204:217:1172,33752441406:0,0659999996423721:0,0707559160641884
43:331656:2,762:18,35:212:1052,5448811849:0,0529999993741512:0,0582065492762081
44:331657:1,074:16,194:207:1064,22435913086:0,0329999998211861:0,0545159922601467
45:331658:2,112:20,41:209:1204,04019775391:0,0670000016689301:0,0581772535303619
46:331659:2,374:17,796:202:1207,84227294922:0,0480000004172325:0,0544246020881794
47:331660:0:7,466:206:1194,25147705078:0,0500000007450581:0,0393439562785825
48:331661:0,808:13,564:214:1177,15363769531:0,0390000008046627:0,0496097813102491
49:331662:2,226:22,04:200:995,554876708984:0,0640000030398369:0,0621560465690053
50:331663:1,52:22,71:206:1155,27941894531:0,0520000010728836:0,061905680060819
51:331664:1,704:16,564:212:629,47031656901:0,0579999983310699:0,0582787821780183
52:331666:1,142:25,518:208:1167,97268066406:0,0520000010728836:0,0651587360317677
53:331674:1,472:14,55:207:1105,79131469727:0,0419999994337559:0,0493425699518629
54:331673:2,192:26,57:212:1144,881640625:0,0599999986588955:0,0659299430089476
55:331671:3,616:26,682:207:636,44753112793:0,0780000016093254:0,0716771628283042
56:331670:12,816:25,55:204:1201,25767822266:0,0860000029206276:0,0648141527718281
57:331669:3,85:23,034:199:1196,80166015625:0,0740000009536743:0,0606157693688048
58:331678:2,266:16,112:206:619,138674926758:0,0489999987185001:0,0580974131229704
59:331679:13,136:23,59:196:1209,00751953125:0,0390000008046627:0,0644074237593121
