1:2108489:21,88743:197:1164,714:0,064:0,054686
2:493:41,54685:199:1198,65:0,067:0,071835
3:494:27,87026:195:1193,826:0,053:0,059542
4:496:32,86719:191:1188,227:0,065:0,063346
5:497:9,901603:195:1052,895:0,046:0,044273
6:499:16,62455:211:1192,348:0,052:0,051898
7:500:8,971298:202:941,8125:0,043:0,04454
8:501:32,48487:212:1196,5:0,072:0,065691
9:502:18,82784:217:870,1:0,054:0,055068
10:503:33,19423:218:971,25:0,076:0,067422
11:506:20,91588:202:1024,727:0,044:0,054707
12:508:28,53098:228:975,5417:0,06:0,064676
13:509:12,05384:218:1161,773:0,047:0,048902
14:510:25,16165:198:1183,056:0,059:0,057608
15:511:29,50155:205:1193,32:0,063:0,062229
16:512:19,48047:207:1153,8:0,059:0,053908
17:513:19,97371:225:1193,476:0,048:0,056576
18:515:14,29774:192:1204,333:0,05:0,047442
19:516:14,54787:208:1093,13:0,054:0,049879
20:518:32,59542:198:1007,444:0,062:0,06429
21:519:16,8433:190:1191,619:0,047:0,0494
22:522:28,76164:200:1207,25:0,053:0,060929
23:524:15,3473:202:1215,188:0,049:0,04961
24:525:25,15791:210:1119,529:0,072:0,05924
25:526:21,88743:197:1164,714:0,064:0,054686
26:527:41,54685:199:1198,65:0,067:0,071835
27:528:27,87026:195:1193,826:0,053:0,059542
28:529:32,86719:191:1188,227:0,065:0,063346
29:530:9,901603:195:1052,895:0,046:0,044273
30:531:16,62455:211:1192,348:0,052:0,051898
