0:494:27,87026:21,2634666667:195:1193,826:0,053:0,059542
1:496:32,86719:21,2634666667:191:1188,227:0,065:0,063346
2:497:9,901603:21,2634666667:195:1052,895:0,046:0,044273
3:499:16,62455:21,2634666667:211:1192,348:0,052:0,051898
4:500:8,971298:21,2634666667:202:941,8125:0,043:0,04454
5:501:32,48487:21,2634666667:212:1196,5:0,072:0,065691
6:502:18,82784:21,2634666667:217:870,1:0,054:0,055068
7:503:33,19423:21,2634666667:218:971,25:0,076:0,067422
8:506:20,91588:21,2634666667:202:1024,727:0,044:0,054707
9:508:28,53098:21,2634666667:228:975,5417:0,06:0,064676
10:509:12,05384:21,2634666667:218:1161,773:0,047:0,048902
11:510:25,16165:21,2634666667:198:1183,056:0,059:0,057608
12:511:29,50155:21,2634666667:205:1193,32:0,063:0,062229
13:512:19,48047:21,2634666667:207:1153,8:0,059:0,053908
14:513:19,97371:21,2634666667:225:1193,476:0,048:0,056576
15:515:14,29774:21,2634666667:192:1204,333:0,05:0,047442
16:516:14,54787:21,2634666667:208:1093,13:0,054:0,049879
17:518:32,59542:21,2634666667:198:1007,444:0,062:0,06429
18:519:16,8433:21,2634666667:190:1191,619:0,047:0,0494
19:522:28,76164:21,2634666667:200:1207,25:0,053:0,060929
20:524:15,3473:21,2634666667:202:1215,188:0,049:0,04961
21:525:25,15791:21,2634666667:210:1119,529:0,072:0,05924
22:526:21,88743:21,2634666667:197:1164,714:0,064:0,054686
23:527:41,54685:21,2634666667:199:1198,65:0,067:0,071835
24:528:27,87026:21,2634666667:195:1193,826:0,053:0,059542
25:529:32,86719:21,2634666667:191:1188,227:0,065:0,063346
26:530:9,901603:21,2634666667:195:1052,895:0,046:0,044273
27:531:16,62455:21,2634666667:211:1192,348:0,052:0,051898
28:221133:13,4192:21,2634666667:180:1169,0422406684:0,1133:-0,1455704286
29:221133:13,4192:21,2634666666667:180:1169,0422406684:0,1133:0,0601312945838075
