MinSiHotIron;MaxSiHotIron;MinTHotIron;MaxTHotIron;MassHotIron;MassScrap;MassLime;MassDolom;UVSMassDolom;MassFOM;UVSMassFOM;MassDolomS
0,15;0,29;1290;1320;335;75;15;1,5;2,5;3,5;5;0
0,15;0,29;1320;1340;330;80;15;1,5;2,5;3,5;5;0
0,15;0,29;1340;1360;327;83;15;1,5;2,5;3,5;5;0
0,15;0,29;1360;1380;325;85;15;1,5;2,5;3,5;5;0
0,15;0,29;1380;1400;323;87;15;1,5;2,5;3,5;5;0
0,15;0,29;1400;1420;320;90;15;1,5;2,5;3,5;5;0
0,15;0,29;1420;1440;315;95;15;1,5;2,5;3,5;5;0
0,15;0,29;1440;1460;310;100;15;1,5;2,5;3,5;5;0
0,3;0,49;1290;1320;332;78;15,5;1,5;2,5;3,5;5;0
0,3;0,49;1320;1340;328;82;15,5;1,5;2,5;3,5;5;0
0,3;0,49;1340;1360;325;85;15,5;1,5;2,5;3,5;5;0
0,3;0,49;1360;1380;320;90;15,5;1,5;2,5;3,5;5;0
0,3;0,49;1380;1400;315;95;15,5;1,5;2,5;3,5;5;0
0,3;0,49;1400;1420;310;100;15,5;1,5;2,5;3,5;5;0
0,3;0,49;1420;1440;305;105;15,5;1,5;2,5;3,5;5;0
0,3;0,49;1440;1460;300;110;15,5;1,5;2,5;3,5;5;0
0,5;0,59;1290;1320;330;80;16;1,5;2,5;3,5;5;0
0,5;0,59;1320;1340;325;85;16;1,5;2,5;3,5;5;0
0,5;0,59;1340;1360;320;90;16;1,5;2,5;3,5;5;0
0,5;0,59;1360;1380;315;95;16;1,5;2,5;3,5;5;0
0,5;0,59;1380;1400;310;100;16;1,5;2,5;3,5;5;0
0,5;0,59;1400;1420;305;105;16;1,5;2,5;3,5;5;0
0,5;0,59;1420;1440;300;110;16;1,5;2,5;3,5;5;0
0,5;0,59;1440;1460;297;113;16;1,5;2,5;3,5;5;0
0,6;0,69;1290;1320;325;85;16,5;1,5;2,5;3,5;5;0
0,6;0,69;1320;1340;320;90;16,5;1,5;2,5;3,5;5;0
0,6;0,69;1340;1360;315;95;16,5;1,5;2,5;3,5;5;0
0,6;0,69;1360;1380;310;100;16,5;1,5;2,5;3,5;5;0
0,6;0,69;1380;1400;305;105;16,5;1,5;2,5;3,5;5;0
0,6;0,69;1400;1420;300;110;16,5;1,5;2,5;3,5;5;0
0,6;0,69;1420;1440;298;112;16,5;1,5;2,5;3,5;5;0
0,6;0,69;1440;1460;295;115;16,5;1,5;2,5;3,5;5;0
0,7;0,79;1290;1320;320;90;17;1,5;2,5;3,5;5;0
0,7;0,79;1320;1340;315;95;17;1,5;2,5;3,5;5;0
0,7;0,79;1340;1360;310;100;17;1,5;2,5;3,5;5;0
0,7;0,79;1360;1380;305;105;17;1,5;2,5;3,5;5;0
0,7;0,79;1380;1400;300;110;17;1,5;2,5;3,5;5;0
0,7;0,79;1400;1420;298;112;17;1,5;2,5;3,5;5;0
0,7;0,79;1420;1440;295;115;17;1,5;2,5;3,5;5;0
0,7;0,79;1440;1460;293;117;17;1,5;2,5;3,5;5;0
0,8;0,89;1290;1320;315;95;18;1,5;2,5;3,5;5;0
0,8;0,89;1320;1340;310;100;18;1,5;2,5;3,5;5;0
0,8;0,89;1340;1360;305;105;18;1,5;2,5;3,5;5;0
0,8;0,89;1360;1380;300;110;18;1,5;2,5;3,5;5;0
0,8;0,89;1380;1400;295;115;18;1,5;2,5;3,5;5;0
0,8;0,89;1400;1420;290;120;18;1,5;2,5;3,5;5;0
0,8;0,89;1420;1440;288;122;18;1,5;2,5;3,5;5;0
0,8;0,89;1440;1460;285;125;18;1,5;2,5;3,5;5;0
0,9;0,99;1290;1320;310;100;18,5;1,5;2,5;3,5;5;0
0,9;0,99;1320;1340;305;105;18,5;1,5;2,5;3,5;5;0
0,9;0,99;1340;1360;300;110;18,5;1,5;2,5;3,5;5;0
0,9;0,99;1360;1380;295;115;18,5;1,5;2,5;3,5;5;0
0,9;0,99;1380;1400;293;117;18,5;1,5;2,5;3,5;5;0
0,9;0,99;1400;1420;290;120;18,5;1,5;2,5;3,5;5;0
0,9;0,99;1420;1440;285;125;18,5;1,5;2,5;3,5;5;0
0,9;0,99;1440;1460;280;130;18,5;1,5;2,5;3,5;5;0
1;1,1;1290;1320;305;105;19;1,5;2,5;3,5;5;0
1;1,1;1320;1340;300;110;19;1,5;2,5;3,5;5;0
1;1,1;1340;1360;295;115;19;1,5;2,5;3,5;5;0
1;1,1;1360;1380;293;117;19;1,5;2,5;3,5;5;0
1;1,1;1380;1400;290;120;19;1,5;2,5;3,5;5;0
1;1,1;1400;1420;288;122;19;1,5;2,5;3,5;5;0
1;1,1;1420;1440;285;125;19;1,5;2,5;3,5;5;0
1;1,1;1440;1460;280;132;19;1,5;2,5;3,5;5;0
1,11;1,25;1290;1320;300;110;20;1,5;2,5;3,5;5;0
1,11;1,25;1320;1340;298;112;20;1,5;2,5;3,5;5;0
1,11;1,25;1340;1360;295;115;20;1,5;2,5;3,5;5;0
1,11;1,25;1360;1380;293;117;20;1,5;2,5;3,5;5;0
1,11;1,25;1380;1400;290;120;20;1,5;2,5;3,5;5;0
1,11;1,25;1400;1420;288;122;20;1,5;2,5;3,5;5;0
1,11;1,25;1420;1440;285;125;20;1,5;2,5;3,5;5;0
1,11;1,25;1440;1460;280;132;20;1,5;2,5;3,5;5;0
