5:226588:21,306:25,1246666667:217:1247,8846393454:0,061999999:8158411539086,74
6:226589:11,4533333333:24,0066666667:203:1308,4425343481:0,0489999987:0,0624422931
7:226590:21,404:24,7446666667:227:1243,8126683728:0,0729999989:0,0491541822
8:226591:6,8806666667:23,202:219:1240,9395204741:0,0549999997:0,0499200373
9:226592:22,593125:23,64125:203:1301,4735065329:0,0430000015:0,0683887588
10:226593:21,8986666667:22,8333333333:198:1307,2731470568:0,0590000004:0,0645867085
11:226594:6,234:23,908:207:1203,4359635978:0,050999999:0,0585879495
12:226595:3,4473333333:18,6353333333:184:1257,1384235251:0,0340000018:0,0554292559
13:226596:15,334:23,0126666667:224:1253,6599584119:0,0520000011:0,0471032272
14:226597:1,5593333333:20,3533333333:208:1281,3393217942:0,0549999997:0,0399244969
15:226598:1,8533333333:10,1013333333:192:1343,1307067871:0,0329999998:0,0141310156
16:226600:29,992:21,284:197:1199,4582856277:0,0560000017:0,0647082448
17:226601:21,636:23,548:203:1251,8671369882:0,0460000001:0,0633149392
18:226602:2,3966666667:20,8306666667:217:915,9251224912:0,0379999988:0,0487897982
19:226603:7,5666666667:20,888:213:926,6174653152:0,0500000007:0,0505764894
20:226604:3,8646666667:19,8553333333:191:945,6292030071:0,0439999998:0,060037669
22:226607:5,5353333333:21,4086666667:198:1280,3670107085:0,0460000001:0,0512453288
23:226608:24,8893333333:22,7466666667:212:1279,2822181439:0,0810000002:0,0524699088
24:226609:4,3493333333:20,1706666667:198:1271,7759757206:0,0439999998:0,0490722554
26:226612:2,506:19,2926666667:211:1222,9915140086:0,0430000015:0,0460995062
27:226613:6,6213333333:19,3206666667:213:1255,7448604189:0,057:0,0462723918
28:226614:3,2933333333:16,3046666667:208:1096,6585104054:0,0390000008:0,045427666
29:226617:1,228:19,2353333333:207:1247,9017502357:0,0500000007:0,0457044149
30:226618:16,4526666667:24,7726666667:198:1256,3476520407:0,0379999988:0,0627776706
31:226620:2,0286666667:14,0986666667:199:1122,288473195:0,0399999991:0,0438773703
32:226621:10,5966666667:25,8153333333:198:1303,7195203058:0,0610000007:0,0595082635
33:226622:15,6646666667:23,134:211:1296,0056741649:0,050999999:0,0556100547
34:226623:3,1506666667:13,9106666667:203:908,3361206055:0,0379999988:0,047862276
35:226624:3,0233333333:18,778:212:978,5317782698:0,0379999988:0,0503717358
36:226625:21,692:21,4853333333:212:898,7042089002:0,0520000011:0,0645792836
37:226626:22,784:22,6553333333:208:1021,9079463564:0,0820000023:0,0631710614
38:226629:14,508:20,1453333333:218:970,1395410998:0,0500000007:0,0571948297
39:226632:7,766:19,7046666667:214:1271,7922026536:0,0579999983:0,0458524913
40:226633:3,9573333333:21,8766666667:210:1204,2522561961:0,0500000007:0,0495316028
41:226634:2,4693333333:18,718:210:1294,2103061018:0,0489999987:0,0425051888
42:226635:3,5473333333:18,484:212:1264,6471031452:0,0469999984:0,043622376
43:226636:1,021875:14,531875:213:1201,9872920595:0,0529999994:0,0388593648
44:226637:3,776:23,3906666667:214:1252,4209005422:0,0520000011:0,0509934176
45:226638:6,810625:21,4775:211:1241,8724912446:0,050999999:0,0504310493
46:226639:3,466:18,172:211:1248,6546672953:0,0460000001:0,045102334
47:226640:15,441875:21,644375:218:1301,3115192282:0,057:0,0528311951
49:226642:20,702:22,0533333333:219:1247,4920149178:0,0680000037:0,0576139688
50:226643:21,1053333333:22,6446666667:219:1309,5756120353:0,0480000004:0,057946252
51:226644:14,8006666667:22,0766666667:208:1251,4609459186:0,0549999997:0,055343022
52:226645:17,0466666667:23,706:219:1305,7759083715:0,0649999976:0,0572701204
53:226646:19,276:22,368:211:811,6286389581:0,064000003:0,0681111426
54:226647:1,0913333333:25,3233333333:192:1244,1147839776:0,0520000011:0,0534068816
55:226648:14,8906666667:23,6993333333:204:1302,8467175714:0,0729999989:0,0567861439
56:226649:3,9073333333:23,0913333333:201:969,1024548761:0,0659999996:0,0581379889
57:226651:10,9726666667:23,3526666667:203:958,8552603886:0,0549999997:0,0626762018
58:226652:17,34:23,4013333333:198:982,4211531014:0,0610000007:0,0648683128
59:226653:12,92:23,318:202:988,6298259867:0,050999999:0,0623563205
