Time;Heigth lance;Rate O2;H2;O2;CO;CO2;N2;Ar;V gas;T gas;C calculated;C sublance;Ignition;DecompressionOffGasEvent
02.09.2012 09:50:48;703;86,8469543457031;0;17,9;0,27;0,92;80,07;0,85;396205,736111111;45;3,12896506224869;0;0;-1858
02.09.2012 09:50:49;679;242,941314697266;0;17,9;0,27;0,92;80,07;0,85;396686,666666667;45;3,12895762422843;0;0;-1858
02.09.2012 09:50:50;655;401,967468261719;0;17,9;0,27;0,92;80,07;0,85;396716,28125;45;3,12894656407087;0;0;-1859
02.09.2012 09:50:51;633;560,784906005859;0;17,9;0,27;0,92;80,07;0,85;397009,746875;45;3,12892949470609;0;0;-1861
02.09.2012 09:50:52;615;719,412164306641;0,02;16,588;0,216;0,744;81,646;0,792;397038,003125;45;3,12890728008264;0;0;-1862
02.09.2012 09:50:53;602;790,656420898438;0,038;13,85;0,162;0,566;84,722;0,668;396355,5375;45;3,12888279541719;0;0;-1859
02.09.2012 09:50:54;594;791,471362304688;0,056;10,66;0,108;0,384;88,278;0,518;395787,609375;45;3,12886064114725;0;0;-1857
02.09.2012 09:50:55;591;795,932336425781;0,074;7,346;0,054;0,2;91,964;0,362;395490,05;45;3,12884197413537;0;0;-1852
02.09.2012 09:50:56;591;826,861077880859;0,092;3,978;0;0,016;95,708;0,204;394971,984375;45;3,12882764356333;0;0;-1844
02.09.2012 09:50:57;591;882,599176025391;0,088;1,892;0;0,008;97,91;0,102;394403,6625;45;3,12881845824996;0;0;-1840
02.09.2012 09:50:58;591;956,565631103516;0,086;1,214;0;0,002;98,63;0,064;394162,90625;45;3,12881297473194;0;0;-1836
02.09.2012 09:50:59;591;1041,29182739258;0,084;0,976;0;0;98,884;0,052;394501,6375;45;3,12881042328328;0;0;-1834
02.09.2012 09:51:00;591;1118,85280761719;0,08;0,848;0;0;99,022;0,046;394783,675;45;3,12880965340163;0;0;-1830
02.09.2012 09:51:01;590;1164,42109375;0,078;0,76;0;0;99,116;0,042;395096,6375;45;3,12880965340163;0;0;-1829
02.09.2012 09:51:02;586;1185,14654541016;0,078;0,69;0;0;99,19;0,038;395630,28125;45;3,12880965340163;0;0;-1824
02.09.2012 09:51:03;583;1200,02902832031;0,078;0,626;0;0;99,258;0,036;395998,815625;45;3,12880965340163;0;0;-1823
02.09.2012 09:51:04;579;1216,48732910156;0,078;0,57;0;0;99,316;0,034;395864,19375;45;3,12880965340163;0;0;-1821
02.09.2012 09:51:05;575;1231,82814941406;0,078;0,524;0;0;99,366;0,032;395779,575;45;3,12880965340163;0;0;-1821
