Time;Heigth lance;Rate O2;H2;O2;CO;CO2;N2;Ar;V gas;T gas;C calculated;C sublance;Ignition;DecompressionOffGasEvent;QOxygen;POxygen;TOxygen;DeltaPOxygen;QNitrogenLanceWindow;QNitrogenBoiler;RB5;RB6;RB7;RB8;RB9;RB10;RB11;RB12;NeuralC
19.10.2012 15:08:46;598;104,656585693359;0;16,13;0;5,3;77,57;0,99;382781,875;47;3,09521445121677;0;0;-2147483648;209,191375732422;19,1545734405518;15,5074844360352;165,504760742188;3188;6292;0;0;0;4008;3980;0;1504;0;0,0687327782432065
19.10.2012 15:08:47;598;753,532409667969;0;16,13;0;5,3;77,57;0,99;382686,421875;47;3,09521445121677;0;0;-1640;751,990814208984;18,8710155487061;15,5074844360352;270,53662109375;3196;6298;0;0;0;4008;3980;0;1504;0;0,0671721054398136
19.10.2012 15:08:48;598;779,788848876953;0;16,13;0;5,3;77,57;0,99;383203,71875;47;3,09521445121677;0;0;-1640;781,396606445313;18,9462451934814;15,5074844360352;281,531692504883;3194;6299;0;0;0;4008;3980;0;1504;0;0,064552359459641
19.10.2012 15:08:49;598;788,193298339844;0;16,13;0;5,3;77,57;0,99;383245,859375;47;3,09521445121677;0;0;-1635;785,797271728516;18,8999500274658;15,5074844360352;284,714477539063;3206;6307;0;0;0;4008;3980;0;1504;0;0,0618880638005136
19.10.2012 15:08:50;597;785,8544921875;0,05;0,41;0,01;0;99,51;0,02;384172,078125;47;3,09521443618752;0;0;-2147483648;787,448547363281;18,9346714019775;15,5074844360352;286,161193847656;3198;6300;0;0;0;4008;3980;0;1504;0;0,059584479914433
19.10.2012 15:08:51;581;783,347442626953;0,05;0,73;0,01;0;99,17;0,04;382786,046875;47;3,09521432393653;0;0;-1636;782,546417236328;18,9462451934814;15,5074844360352;282,689071655273;3250;6354;0;0;0;4008;3980;0;1504;0;0,0578781081737636
19.10.2012 15:08:52;563;778,000305175781;0,05;1,16;0,02;0;98,71;0,07;383619,46875;47;3,09521410943241;0;0;-2147483648;777,158111572266;18,876802444458;15,5074844360352;279,216949462891;3232;6339;0;0;0;4008;3980;0;1504;0;0,0557992625675146
19.10.2012 15:08:53;547;777,946655273438;0,06;0,81;0,01;0;99,08;0,05;383660,796875;47;3,09521382340351;0;0;-2147483648;775,017120361328;18,8710155487061;15,5074844360352;277,770233154297;3236;6342;0;0;0;4008;3980;0;1504;0;0,0536718049415685
19.10.2012 15:08:54;531;774,336273193359;0,05;0,63;0;0;99,27;0,04;382094;47;3,09521352239004;0;0;-1635;774,111053466797;18,8652286529541;15,5074844360352;277,191528320313;3233;6336;0;0;0;4008;3980;0;1504;0;0,0514943242359554
19.10.2012 15:08:55;515;821,799743652344;0,06;0,58;0;0;99,33;0,04;382851,390625;47;3,09521320257944;0;0;-1640;823,275024414063;18,8131465911865;15,5074844360352;313,648880004883;3273;6376;0;0;0;4008;3980;0;1504;0;0,0492457583029509
19.10.2012 15:08:56;503;917,971466064453;0,07;0,5;0;0;99,4;0,03;384095,53125;47;3,09521289254267;0;0;-1637;917,847900390625;18,8420810699463;15,5074844360352;398,426666259766;3254;6361;0;0;0;4008;3980;0;1504;0;0,0467084925541413
19.10.2012 15:08:57;503;995,14404296875;0,06;0,44;0;0;99,47;0,03;381011,8125;47;3,09521257740317;0;0;-1642;996,46728515625;18,7899990081787;15,5074844360352;467,001190185547;3210;6313;0;0;0;4008;3980;0;1504;0;0,0437766568797831
19.10.2012 15:08:58;503;1048,78533935547;0,07;0,45;0;0;99,45;0,03;379667,984375;48;3,09521227219176;0;0;-2147483648;1057,67529296875;18,8015727996826;15,5074844360352;519,66178894043;3260;6361;0;0;0;4008;3980;0;1504;0;0,0404955823388326
19.10.2012 15:08:59;503;1101,04663085938;0,07;0,46;0;0;99,45;0,03;383150,46875;48;3,09521195284688;0;0;-2147483648;1099,91534423828;18,7610645294189;15,5074844360352;561,906005859375;3281;6382;0;0;0;4008;3980;0;1504;0;0,0368701343559168
19.10.2012 15:09:00;503;1089,15972900391;0,07;0,46;0;0;99,45;0,03;383815,15625;48;3,09521165226406;0;0;-2147483648;1088,87615966797;18,7842121124268;15,5074844360352;551,489624023438;3298;6400;0;0;0;4008;3980;0;1504;0;0,0329713820053448
19.10.2012 15:09:01;503;1079,69592285156;0,07;0,44;0;0;99,46;0,03;384241,453125;48;3,09521133274238;0;0;-1638;1077,65075683594;18,7263431549072;15,5074844360352;540,494567871094;3287;6392;0;0;0;4008;3980;0;1504;0;0,029195176046402
19.10.2012 15:09:02;503;1090,15386962891;0,05;0,43;0;0;99,49;0,03;381860,40625;48;3,09521103206921;0;0;-1634;1096,98779296875;18,7205562591553;15,5074844360352;560,748626708984;3273;6378;0;0;0;4008;3980;0;1504;0;0,0276151118708574
19.10.2012 15:09:03;503;1136,79913330078;0,07;0,42;0;0;99,48;0,03;383021,28125;48;3,09521073140792;0;0;-2147483648;1141,09625244141;18,6742610931396;15,5074844360352;608,201049804688;3264;6372;0;0;0;4008;3980;0;1504;0;0,026609818323017
19.10.2012 15:09:04;503;1179,77886962891;0,06;0,35;0;0;99,56;0,03;382078,984375;48;3,0952104118009;0;0;-1639;1179,31762695313;18,6916217803955;15,5074844360352;649,577239990234;3259;6368;0;0;0;4008;3980;0;1504;0;0,0254062924024888
19.10.2012 15:09:05;503;1173,38305664063;0,06;0,62;0,01;0,04;99,22;0,04;383015,796875;48;3,09521021624701;0;0;-1636;1174,07214355469;18,6916217803955;15,5364151000977;642,922302246094;3252;6361;0;0;0;4008;3980;0;1504;0;0,0242500664877134
19.10.2012 15:09:06;503;1154,43367513021;0,05;2,7;0,14;0,7;96,24;0,17;382558,734375;48;3,09521002080378;0;0;-1640;1153,43599446615;18,672332127889;15,5267715454102;622,089579264323;3243;6352;0;0;0;4008;3980;0;1504;0;0,0227847087093311
19.10.2012 15:09:07;503;1147,85009765625;0,04;6,68;0,32;2,35;90,21;0,41;382888,28125;48;3,09520935961813;0;0;-2147483648;1148,59606933594;18,6453266143799;15,5364151000977;614,85595703125;3220;6330;0;0;0;4008;3980;0;1504;0;0,0209617655649426
19.10.2012 15:09:08;503;1136,77496337891;0,02;9,1;0,39;4,71;85,18;0,59;381022;48;3,09520729032593;0;0;-2147483648;1135,69232177734;18,5932445526123;15,5364151000977;605,3076171875;3255;6363;0;0;0;4008;3980;0;1504;0;0,0194667595178443
19.10.2012 15:09:09;503;1134,69152832031;0,02;9,55;0,45;7,99;81,28;0,7;381980,84375;48;3,09520448373486;0;0;-2147483648;1140,30847167969;18,5816707611084;15,5364151000977;609,358428955078;3300;6407;0;0;0;4008;3980;0;1504;0;0,0182988181157327
19.10.2012 15:09:10;503;1150,4052734375;0;8,96;0,39;11,44;78,46;0,75;382017,984375;48;3,09519728395304;0;0;-1644;1167,36065673828;18,5758838653564;15,5364151000977;639,739562988281;3249;6353;0;0;0;4008;3980;0;1504;0;0,0170872076536766
19.10.2012 15:09:11;503;1169,04402669271;0;8,5;0,31;14,24;76,18;0,77;382541,109375;48;3,09518733344233;0;0;-1649;1169,21997070313;18,5758838653564;15,5364151000977;641,764953613281;3237;6342;0;0;0;4008;3980;0;1504;0;0,0153044667026797
19.10.2012 15:09:12;503;1171,50964355469;0;9,8;0,54;14,05;74,85;0,77;383206,1875;48;3,09517502557484;0;0;-2147483648;1176,22686767578;18,5469493865967;15,5364151000977;650,445281982422;3254;6357;0;0;0;4008;3980;0;1504;0;0,0142923288041143
19.10.2012 15:09:13;503;1180,32403564453;0;12,05;0,35;11,78;75,02;0,8;383116,75;48;3,0951606058994;0;0;-1645;1188,21643066406;18,5643100738525;15,5364151000977;663,176391601563;3205;6306;0;0;0;4008;3980;0;1504;0;0,0136208171124988
19.10.2012 15:09:14;503;1184,21160888672;0;14,13;0,31;9,44;75,31;0,82;382960,921875;48,5;3,09514307966055;0;0;-1644;1184,21160888672;18,5006542205811;15,5364151000977;660,861633300781;3205;6305;0;0;0;4008;3980;0;1504;0;0,0130181677671617
19.10.2012 15:09:15;503;1186,43780517578;0;15,97;0,46;7,65;75,1;0,82;382940,84375;49;3,09512363663556;0;0;-1640;1186,79040527344;18,4832944869995;15,5364151000977;664,333770751953;3190;6289;0;0;0;4008;3980;0;1504;0;0,0125911877311
19.10.2012 15:09:16;503;1185,67004394531;0;17,39;0,22;6,77;74,78;0,83;383264;49;3,09510166595918;0;0;-1646;1184,96459960938;18,4717216491699;15,5364151000977;660,282989501953;3256;6357;0;0;0;4008;3980;0;1504;0;0,0121605103811493
19.10.2012 15:09:17;503;1173,09692382813;0;18,46;0,09;6,32;74,29;0,84;383693,3125;49;3,0950771829457;0;0;-1645;1176,57934570313;18,4717216491699;15,5364151000977;650,445251464844;3293;6392;0;0;0;4008;3980;0;1504;0;0,0117462855131787
19.10.2012 15:09:18;503;1175,70477294922;0;19,06;0,2;6,27;73,63;0,83;384208,0625;49;3,09505337492398;0;0;-1642;1177,78424072266;18,4427871704102;15,5364151000977;655,074768066406;3316;6411;0;0;0;4008;3980;0;1504;0;0,011436075047206
19.10.2012 15:09:19;503;1180,44775390625;0;19,52;0,25;6,52;72,87;0,84;382927,703125;49;3,09502696268339;0;0;-1644;1180,96472167969;18,3964920043945;15,5364151000977;660,572326660156;3215;6311;0;0;0;4008;3980;0;1504;0;0,0113019685850827
19.10.2012 15:09:20;503;1179,31945800781;0;19,81;0,15;6,97;72,23;0,84;381287,96875;49;3,09500068487015;0;0;-1648;1180,35479736328;18,3907051086426;15,5364151000977;660,282958984375;3118;6216;0;0;0;4008;3980;0;1504;0;0,0112587774217781
19.10.2012 15:09:21;503;1183,85729980469;0;20,11;0,12;7,66;71,28;0,83;380521,390625;49;3,09497169880669;0;0;-1659;1185,39849853516;18,3617706298828;15,5364151000977;666,937866210938;3185;6283;0;0;0;4008;3980;0;1504;0;0,0111577833557932
19.10.2012 15:09:22;503;1186,60900878906;0;20,26;0,34;8,57;70,02;0,81;378950,234375;49;3,09494431434709;0;0;-1679;1185,48327636719;18,3559837341309;15,5364151000977;667,227233886719;3173;6269;0;0;0;4008;3980;0;1504;0;0,0110095257458476
19.10.2012 15:09:23;503;1186,76617431641;0;20,47;0,14;9,86;68,72;0,81;380182,0625;49;3,09491601831023;0;0;-1699;1187,20031738281;18,3617706298828;15,5364151000977;668,963287353516;3221;6317;0;0;0;4008;3980;0;1504;0;0,0108584201411107
19.10.2012 15:09:24;503;1196,7880859375;0;20,78;0,18;11,15;67,08;0,81;378792,890625;49;3,0948888399986;0;0;-1710;1196,60925292969;18,3212623596191;15,5364151000977;680,826385498047;3203;6301;0;0;0;4008;3980;0;1504;0;0,0106628858682507
19.10.2012 15:09:25;503;1185,91961669922;0;21,03;0,14;11,96;66,06;0,8;380049,28125;49;3,0948633646791;0;0;-1716;1185,91961669922;18,2865409851074;15,5364151000977;670,120666503906;3210;6307;0;0;0;4008;3980;0;1504;0;0,0104946358616551
19.10.2012 15:09:26;503;1179,16436767578;0;21,05;0,1;12,18;65,87;0,81;381697,359375;49;3,0948390690444;0;0;-1717;1178,98767089844;18,2807540893555;15,5364151000977;661,151000976563;3228;6326;0;0;0;4008;3980;0;1504;0;0,0104201433216465
19.10.2012 15:09:27;503;1185,20703125;0;21,15;0,09;12,32;65,63;0,8;382339,015625;49;3,09481754747006;0;0;-1708;1186,98303222656;18,2807540893555;15,5364151000977;675,907562255859;3246;6342;0;0;0;4008;3980;0;1504;0;0,0103747831055253
19.10.2012 15:09:28;503;1192,45513916016;0;21,31;0,08;12,33;65,47;0,81;382204,859375;49;3,09479911822979;0;0;-1701;1191,69201660156;18,2749671936035;15,5364151000977;677,064910888672;3210;6303;0;0;0;4008;3980;0;1504;0;0,0103171800629664
19.10.2012 15:09:29;503;1178,88977050781;0;21,37;0,14;12,25;65,43;0,81;382548,9375;49;3,09478166566018;0;0;-1695;1177,60321044922;18,2633934020996;15,5364151000977;661,151000976563;3163;6255;0;0;0;4008;3980;0;1504;0;0,0102859546027576
19.10.2012 15:09:30;503;1180,11840820313;0;21,33;0,09;11,85;65,91;0,82;383354,265625;49;3,09476549048929;0;0;-1693;1181,40075683594;18,2228851318359;15,5364151000977;667,227233886719;3233;6323;0;0;0;4008;3980;0;1504;0;0,0102888882734459
19.10.2012 15:09:32;503;1183,32861328125;0;21,33;0,05;11,49;66,31;0,83;382461,75;49,5;3,09475093152276;0;0;-2147483648;1186,13403320313;18,1881637573242;15,5364151000977;673,592803955078;3305;6396;0;0;0;4008;3980;0;1504;0;0,0102884014087195
19.10.2012 15:09:33;503;1192,04901123047;0;20,79;0,19;11,93;66,25;0,83;383768,15625;50;3,09473782741318;0;0;-2147483648;1192,80676269531;18,1881637573242;15,5364151000977;681,405090332031;3286;6380;0;0;0;4008;3980;0;1504;0;0,0102675356165279
19.10.2012 15:09:34;503;1200,88897705078;0;19,56;0,32;14,72;64,58;0,82;383496,390625;50;3,0947235736206;0;0;-1699;1200,88610839844;18,1881637573242;15,5364151000977;690,6640625;3275;6368;0;0;0;4008;3980;0;1504;0;0,0102332431688489
19.10.2012 15:09:35;503;1197,83679199219;0;16,4;0,33;21,86;60,61;0,8;381073,15625;50;3,09470946430025;0;0;-1706;1199,30590820313;18,1881637573242;15,5364151000977;687,191955566406;3265;6356;0;0;0;4008;3980;0;1504;0;0,0102506196771728
19.10.2012 15:09:36;503;1195,62890625;0;12,16;0;30,75;56,33;0,76;382807,515625;50;3,09469365368448;0;0;-1717;1194,90649414063;18,1476554870605;15,5364151000977;687,481323242188;3279;6365;0;0;0;4008;3980;0;1504;0;0,0103903627053328
19.10.2012 15:09:37;503;1202,55902099609;0,02;9,12;0;37,33;52,8;0,73;385061,078125;50;3,09467954757043;0;0;-1725;1202,58917236328;18,1302947998047;15,5364151000977;694,136199951172;3292;6376;0;0;0;4008;3980;0;1504;0;0,0107631886536268
19.10.2012 15:09:38;503;1195,73559570313;0,06;7,15;0,3;41,3;50,48;0,71;385197;50;3,0946664728093;0;0;-1729;1193,78558349609;18,1302947998047;15,5364151000977;682,851806640625;3226;6313;0;0;0;4008;3980;0;1504;0;0,0114879388522845
